,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis,zeros,nulls
log_packet_count,265433.0,1.100002893302678,0.39133509695832636,0.3010299956639812,1.0,1.0413926851582251,1.0413926851582251,6.820181945361738,1.7494030841735408,4.769545006695293,0,0
duration,265433.0,1019.7165002556696,203452.38386745128,0.0,0.3883430957794189,3.671034812927246,4.122136116027832,83721606.8678112,374.66817113955995,142782.82464986184,2098,0
bytes_per_second,263335.0,261353.074476068,1998184.3497073948,2.06876105798e-05,131.02779328502015,132.41771030712,2905.1044495158576,218103808.0,47.318692684397305,3494.1965226614216,0,2098
syn_ratio,265433.0,0.2712761527036716,0.42499384955900416,0.0,0.0,0.0217391304347826,1.0,1.0,1.1150654825773123,-0.7245573743062486,124362,0
ack_ratio,265433.0,0.2548304086899736,0.4072356544106974,0.0,0.0,0.0,0.7986111111111112,1.0,0.9905752826140932,-0.980988655780346,190261,0
rst_ratio,265433.0,0.2612127973475481,0.4288864553487964,0.0,0.0,0.0,1.0,1.0,1.128729177571181,-0.7001541295246452,171619,0
fin_ratio,265433.0,0.032694348583899156,0.06727825600137685,0.0,0.0,0.0,0.0333333333333333,1.0,2.5200279162806516,7.674050096456947,193341,0
ttl_mean,265433.0,83.76300487756937,31.0613190280765,1.0,64.0,64.0,96.0,255.0,1.418555997413535,1.4708598756387632,0,0
ttl_std,263336.0,10.13906409190013,19.78329568875909,0.0,0.0,0.0,6.025157343041205,122.32947314527271,2.049915885271879,3.809535844459234,175213,2097
window_std,206966.0,32443.35129995214,748007.8245004882,0.0,0.0,0.0,7709.547327826712,34236589.0542,43.04093512486309,1885.6103361348808,130993,58467
sack_present,265433.0,0.28300550421386944,0.45045993524752276,0.0,0.0,0.0,1.0,1.0,0.9634425343597124,-1.0717865588029827,190314,0
is_burst,263335.0,0.15804963259726204,0.36478822837471464,0.0,0.0,0.0,0.0,1.0,1.874802627381744,1.5148963970492453,221715,2098
