feature,h_statistic,p_value,eta_squared,separable
ack_ratio,201251.2383597271,0.0,0.7581998890841887,True
sack_present,183909.3690836362,0.0,0.6928646420837068,True
fin_ratio,181764.74373954936,0.0,0.6847847964598796,True
log_packet_count,152110.53291546367,0.0,0.5730629769748734,True
is_burst,137003.47019098955,0.0,0.5161473320209531,True
bytes_per_second,130088.46535097955,0.0,0.4900951491772924,True
window_std,126784.53066193558,0.0,0.4776476220079026,True
duration,123012.32423336685,0.0,0.4634358876888616,True
syn_ratio,107834.0300021533,0.0,0.4062518790416771,True
rst_ratio,97076.25070868233,0.0,0.36572209784417803,True
ttl_std,92187.35066886788,0.0,0.34730323615304987,True
ttl_mean,84337.31411478986,0.0,0.31772833456325367,True
