frame_number,timestamp,packet_length,src_ip,dst_ip,protocol,ttl,ip_len,src_port,dst_port,tcp_seq,tcp_ack,tcp_flags,tcp_window,tcp_dataofs,tcp_options_raw,tcp_mss,tcp_window_scale,tcp_sack_permitted,tcp_timestamps
1,1160011513.85759,87,192.168.1.1,192.168.1.254,17,128,73,1025,53,,,,,,,,,,
2,1160011514.625348,255,192.168.1.254,192.168.1.1,17,64,241,53,1025,,,,,,,,,,
3,1160011514.630658,62,192.168.1.1,207.46.18.94,6,128,48,1099,80,50725855.0,0.0,S,65535.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
4,1160011514.630746,62,207.46.18.94,192.168.1.1,6,64,48,80,1099,3400186441.0,50725856.0,SA,5840.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
5,1160011514.630897,60,192.168.1.1,207.46.18.94,6,128,40,1099,80,50725856.0,3400186442.0,A,65535.0,5.0,[],,,False,
6,1160011514.632197,125,192.168.1.1,207.46.18.94,6,128,111,1099,80,50725856.0,3400186442.0,PA,65535.0,5.0,[],,,False,
7,1160011514.632245,54,207.46.18.94,192.168.1.1,6,64,40,80,1099,3400186442.0,50725927.0,A,5840.0,5.0,[],,,False,
8,1160011514.661583,1514,207.46.18.94,192.168.1.1,6,64,1500,80,1099,3400186442.0,50725927.0,A,5840.0,5.0,[],,,False,
9,1160011514.661667,1514,207.46.18.94,192.168.1.1,6,64,1500,80,1099,3400187902.0,50725927.0,A,5840.0,5.0,[],,,False,
10,1160011514.661848,1318,207.46.18.94,192.168.1.1,6,64,1304,80,1099,3400189362.0,50725927.0,FPA,5840.0,5.0,[],,,False,
11,1160011514.66209,60,192.168.1.1,207.46.18.94,6,128,40,1099,80,50725927.0,3400189362.0,A,65535.0,5.0,[],,,False,
12,1160011514.662404,60,192.168.1.1,207.46.18.94,6,128,40,1099,80,50725927.0,3400190627.0,A,64271.0,5.0,[],,,False,
13,1160011514.662426,60,192.168.1.1,207.46.18.94,6,128,40,1099,80,50725927.0,3400190627.0,RA,0.0,5.0,[],,,False,
14,1160011515.003214,81,192.168.1.1,192.168.1.254,17,128,67,1025,53,,,,,,,,,,
15,1160011515.397543,177,192.168.1.254,192.168.1.1,17,64,163,53,1025,,,,,,,,,,
16,1160011515.563052,62,192.168.1.1,84.244.1.30,6,128,48,1101,5050,3112056251.0,0.0,S,65535.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
17,1160011515.563167,62,84.244.1.30,192.168.1.1,6,64,48,5050,1101,3395159729.0,3112056252.0,SA,5840.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
18,1160011515.563587,60,192.168.1.1,84.244.1.30,6,128,40,1101,5050,3112056252.0,3395159730.0,A,65535.0,5.0,[],,,False,
19,1160011515.563636,76,192.168.1.1,84.244.1.30,6,128,62,1101,5050,3112056252.0,3395159730.0,PA,65535.0,5.0,[],,,False,
20,1160011515.563669,54,84.244.1.30,192.168.1.1,6,64,40,5050,1101,3395159730.0,3112056274.0,A,5840.0,5.0,[],,,False,
21,1160011515.56487,81,192.168.1.1,84.244.1.30,6,128,67,1101,5050,3112056274.0,3395159730.0,PA,65535.0,5.0,[],,,False,
22,1160011515.564941,54,84.244.1.30,192.168.1.1,6,64,40,5050,1101,3395159730.0,3112056301.0,A,5840.0,5.0,[],,,False,
23,1160011515.566851,1338,84.244.1.30,192.168.1.1,6,64,1324,5050,1101,3395159730.0,3112056301.0,PA,5840.0,5.0,[],,,False,
24,1160011515.58256,76,192.168.1.1,192.168.1.254,17,128,62,1025,53,,,,,,,,,,
25,1160011515.613973,79,192.168.1.1,84.244.1.30,6,128,65,1101,5050,3112056301.0,3395161014.0,PA,64251.0,5.0,[],,,False,
26,1160011515.654319,54,84.244.1.30,192.168.1.1,6,64,40,5050,1101,3395161014.0,3112056326.0,A,5840.0,5.0,[],,,False,
27,1160011515.655596,70,192.168.1.1,84.244.1.30,6,128,56,1101,5050,3112056326.0,3395161014.0,PA,64251.0,5.0,[],,,False,
28,1160011515.655642,54,84.244.1.30,192.168.1.1,6,64,40,5050,1101,3395161014.0,3112056342.0,A,5840.0,5.0,[],,,False,
29,1160011515.656786,362,84.244.1.30,192.168.1.1,6,64,348,5050,1101,3395161014.0,3112056342.0,PA,5840.0,5.0,[],,,False,
30,1160011515.661979,79,192.168.1.1,84.244.1.30,6,128,65,1101,5050,3112056342.0,3395161322.0,PA,65535.0,5.0,[],,,False,
31,1160011515.662058,123,84.244.1.30,192.168.1.1,6,64,109,5050,1101,3395161322.0,3112056367.0,PA,5840.0,5.0,[],,,False,
32,1160011515.66328,70,192.168.1.1,84.244.1.30,6,128,56,1101,5050,3112056367.0,3395161391.0,PA,65466.0,5.0,[],,,False,
33,1160011515.703299,54,84.244.1.30,192.168.1.1,6,64,40,5050,1101,3395161391.0,3112056383.0,A,5840.0,5.0,[],,,False,
34,1160011515.712115,79,192.168.1.1,84.244.1.30,6,128,65,1101,5050,3112056383.0,3395161391.0,PA,65466.0,5.0,[],,,False,
35,1160011515.71298,54,84.244.1.30,192.168.1.1,6,64,40,5050,1101,3395161391.0,3112056408.0,A,5840.0,5.0,[],,,False,
36,1160011515.714171,70,192.168.1.1,84.244.1.30,6,128,56,1101,5050,3112056408.0,3395161391.0,PA,65466.0,5.0,[],,,False,
37,1160011515.714953,54,84.244.1.30,192.168.1.1,6,64,40,5050,1101,3395161391.0,3112056424.0,A,5840.0,5.0,[],,,False,
38,1160011516.130081,139,192.168.1.254,192.168.1.1,17,64,125,53,1025,,,,,,,,,,
